Season,Mapped ESPN Team Name,Seed,Net Rating,Adjusted Tempo,Adjusted Offensive Efficiency,Avg Possession Length (Offense),eFGPct,TOPct,ORPct,FTRate,Off3PtFG,FTPct,Bench,Adjusted Defensive Efficiency,Avg Possession Length (Defense),DefFT,cinderella
2014,Stanford,10,16,65.3,112.4,17,51.2821,16.8816,29.2827,44.9744,23.8532,70.2395,18.78,96.4,18.7,21.6524,0
2024,Boise State,10,16,66.6,113.4,18.9,51.0387422796182,16.4363093014569,32.9867674858223,35.0926445816957,31.565103024989,74.08,23.94,97.4,17.4,19.4656488549618,0
2010,Cornell,12,15.900000000000006,63.9,117.4,18,56.5878,18.7033,31.5228,29.1667,38.41,73.3591,29.86,101.5,18.7,22.2437,0
2009,Arizona,12,15.900000000000006,64.9,117.7,NA,53.0407,19.2818,35.612,37.4934,25.3855,73.7659,17.71,101.8,NA,14.5455,0
2012,Texas,11,15.900000000000006,64.9,112.9,18.1,48.4951,18.6769,37.9661,42.5532,23.9271,73.2927,31.38,97,17.8,23.0396,0
2012,Virginia,10,15.900000000000006,59.3,105.2,19.2,50.6662,18.7531,27.496,35.4061,23.25,72.2222,26.67,89.3,19.5,18.098,0
2006,NC State,10,15.900000000000006,64.4,112.5,NA,55.0206,19.6467,27.924,39.8121,36.2568,75.0737,NA,96.6,NA,20.4914,0
2006,Northern Iowa,10,15.900000000000006,59.6,109,NA,51.7617,19.5019,28.6757,35.2979,31.0139,71.8693,NA,93.1,NA,15.1682,0
2006,Texas A&M,12,15.900000000000006,63,106.7,NA,50.8303,20.2491,32.3114,43.1734,28.5915,67.9487,NA,90.8,NA,27.0733,0
2024,NC State,11,15.899999999999991,68,114.3,17.1,50.724929520741,13.795166412992801,28.1546811397558,31.9774466371325,27.571751048049,73.2997481108312,25.59,98.4,18,19.0006798096533,0
2023,Boise State,10,15.800000000000011,66.2,110.9,18.3,51.6498137307078,16.6430217626575,27.1729185727356,30.335284725918,32.1473951715375,73.6842105263158,20.19,95.1,17.6,16.8376865671642,0
2011,Missouri,11,15.600000000000009,70.7,113.4,15.4,51.4749,16.9007,32.5,34.2843,26.3774,73.4838,37.14,97.8,17.8,22.2549,0
2016,Stephen F. Austin,14,15.600000000000009,67.3,112.2,18.4,54.8203,17.6667,33.46774,34.34113,30.1012,74.7508,34.07,96.6,16.3,21.595,0
2004,BYU,12,15.599999999999994,65.9,113,NA,53.9601,20.7021,33.9074,43.2507,22.9743,72.7707,NA,97.4,NA,19.458,0
2002,Tulsa,12,15.599999999999994,69.5,116,NA,54.0021,18.0933,32.4955,36.275,28.3169,75.389,NA,100.4,NA,18.9024,0
2013,Cincinnati,10,15.5,63,105.9,18.5,46.1538,19.3702,38.7302,35.4559,30.504,64.6552,30.92,90.4,18.2,20.0897,0
2005,New Mexico,12,15.5,65.4,112.8,NA,56.9677,20.7126,33.0015,43.5407,32.6386,67.8571,NA,97.3,NA,16.9246,0
